Skill;Kategorie
V-Modell;Entwicklungsmethoden
Wasserfallmodell;Entwicklungsmethoden
Spiralmodell;Entwicklungsmethoden
Agile Modelle;Entwicklungsmethoden
Scrum;Entwicklungsmethoden
test-driven development;Entwicklungsmethoden
Assembler;Programmiersprachen
C;Programmiersprachen
C++;Programmiersprachen
C#;Programmiersprachen
Java;Programmiersprachen
Delphi;Programmiersprachen
Visual Basic;Programmiersprachen
VB;Programmiersprachen
VBA;Programmiersprachen
HTML;Programmiersprachen
PHP;Programmiersprachen
Javascript;Programmiersprachen
Python;Programmiersprachen
Perl;Programmiersprachen
VBScript;Programmiersprachen
LabVIEW;Programmiersprachen
ABAP;Programmiersprachen
VHDL;Programmiersprachen
Oracle;Datenbanken
MS-SQL Server;Datenbanken
mySQL;Datenbanken
MS-Access;Datenbanken
PostgreSQL;Datenbanken
SQL;Datenbanken
SAP BW;Business IT
SAP FI;Business IT
SAP CO;Business IT
SAP HR;Business IT
SAP CRM;Business IT
Customizing;Business IT
Modulbetreuung;Business IT
Datawarehouse;Business IT
Analyse;Erfahrungen
Design;Erfahrungen
Implementierung;Erfahrungen
Testing;Erfahrungen
Dokumentation;Erfahrungen
Berechnung;Erfahrungen
Simulation;Erfahrungen
Projektmanagement;Erfahrungen
Qualitätsmanagement;Erfahrungen
